concordance_id,source_id,source_item,source_inventory,item_type,canonical_module,canonical_object,primary_mapping,mapping_status,assumptions_model_class,proof_evidence_status,publication_artifact_status,destination_paper,monograph_chapter,interface_dependency,review_state,notes
CC-A001-011,A001,"An initial belief $B_0 \subseteq \mathcal E$ belongs to $\operatorname{ERCapt}_{\mathcal E}(K_{\mathcal I})$ if there exists an observation-based policy and a finite $T$ such that, for every compatible initial state, disturbance, and observation error:",research_program/article_001_topdown/formal_result_inventory.md,Definition 3.3 (Robust informational capture basin).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,defined_source_object,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): definition verified in source §3.4; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. Citation anchor locked at the source section named above; the paper-time citation match rides the Part III paper-support discipline.
CC-A001-012,A001,"For an initial belief $B_0$,",research_program/article_001_topdown/formal_result_inventory.md,Definition 3.4 (Worst-case informational recovery time).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,defined_source_object,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,"Row-closed 2026-08-27 (A001 scientific pass; source read in full): definition verified in source §3.4; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Evidence status now defined_source_object (see extra note where corrected). Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. Citation anchor locked at the source section named above; the paper-time citation match rides the Part III paper-support discipline. evidence corrected to defined_source_object (intake had source_specific_empirical_status_check_required — this is a definition, not an empirical object)"
CC-A001-013,A001,"If $\mathcal I_1 \succeq \mathcal I_2$, then $\tau_{\mathcal E}^{\mathcal I_1}(B) \le \tau_{\mathcal E}^{\mathcal I_2}(B)$ whenever both are compared from corresponding initial information states.",research_program/article_001_topdown/formal_result_inventory.md,Proposition 3.2 (Information monotonicity of recovery time).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 5,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): proposition + proof verified in source §3.4; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-014,A001,"Given an observation history $y_{[0,t]}$, define the compatible-state set",research_program/article_001_topdown/formal_result_inventory.md,Definition 4.1: Information set.,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,defined_source_object,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): definition verified in source §4.1; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. Citation anchor locked at the source section named above; the paper-time citation match rides the Part III paper-support discipline.
CC-A001-015,A001,A control selected from information state $B$ is robustly admissible if,research_program/article_001_topdown/formal_result_inventory.md,Definition 4.2.,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,defined_source_object,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): definition verified in source §4.2; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. Citation anchor locked at the source section named above; the paper-time citation match rides the Part III paper-support discipline.
CC-A001-016,A001,Let $\mathfrak B$ be a suitable hyperspace of closed information sets. Define,research_program/article_001_topdown/formal_result_inventory.md,Definition 4.3.,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,defined_source_object,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): definition verified in source §4.3; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. Citation anchor locked at the source section named above; the paper-time citation match rides the Part III paper-support discipline.
CC-A001-017,A001,"Suppose observation structure $\mathcal I_1$ is more informative than $\mathcal I_2$, meaning every $\mathcal I_2$-history is a causal function of the corresponding $\mathcal I_1$-history. Then",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.1.,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof verified in source §4.4; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-018,A001,"If the observation history has a causal inverse, then epistemic and perfect-information kernels coincide, under either admissibility semantics.",research_program/article_001_topdown/formal_result_inventory.md,Corollary 4.1.,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): corollary verified in source §4.4 (no separate proof; follows from Theorem 4.1 via the causal inverse); module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-019,A001,"If $B \in \operatorname{EViab}_{\mathcal I}(\mathcal V)$ and $C \subseteq B$ is a possible initial information set under the same observation model, then $C \in \operatorname{EViab}_{\mathcal I}(\mathcal V)$.",research_program/article_001_topdown/formal_result_inventory.md,Proposition 4.2 (Downward closure of the epistemic kernel).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): proposition + proof verified in source §4.4; module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-020,A001,"There exist systems with $\operatorname{Viab}(\mathcal V; U, \pi_{\mathrm{perf}}) = \mathcal V \neq \varnothing$ and $\operatorname{EViab}_{\mathcal I}(\mathcal V) = \varnothing$ for a non-injective observation $\mathcal I$.",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.2.,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",COUNTEREXAMPLE_OR_LIMIT,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,"Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof verified in source §4.5 (explicit constant-observation construction emptying a nonempty physical kernel); module observation_governance_empirics confirmed; mapping COUNTEREXAMPLE_OR_LIMIT corrected (intake: EXACT_SPECIALIZATION). Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. mapping corrected to COUNTEREXAMPLE_OR_LIMIT: the theorem is an impossibility witness (EViab = ∅ despite Viab = V ≠ ∅), the canonical epistemic-contraction boundary"
CC-A001-021,A001,"For the scalar delayed controlled system $\dot x = -a x - B x(t-\tau)$ ($a > 0$, $B \ge 0$):",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.3 (Delay margin in feedback).,nonlinear_dynamics,"state, model, admissible set, theorem record",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 4,Delay and nonlinear transitions,TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof + numerical check verified in source §4.5 (Hayes characteristic equation; complete delay-margin classification); module nonlinear_dynamics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-022,A001,Consider the output-feedback system,research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.4 (Observer-to-viability transfer with safety buffer).,observation_governance_empirics,"operator I, theorem record, mapping",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,Formal viability and theorem atlas,TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,"Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof verified in source §4.6 (six hypotheses; observer convergence absorbing Lipschitz error); module observation_governance_empirics corrected (intake: formal_foundations); mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. module corrected to observation_governance_empirics (intake: formal_foundations) — the observer/estimation channel is the assessment operator of the canonical execution chain, same family as Prop 4.1"
CC-A001-023,A001,"If $K \subseteq \mathcal V$ is closed, $\mathcal R_K(x) \neq \varnothing$ for every $x \in K$, and $\mathcal R_K$ admits a measurable feedback selection $k(x)$ with well-posed closed-loop, then $K$ is robustly controlled invariant, $K \subseteq \operatorname{RViab}(\mathcal V)$. Under the usual regularity and convexity assumptions of discriminating-kernel theory the converse holds, so $\operatorname{RViab}(\mathcal V)$ is the largest closed subset of $\mathcal V$ satisfying the robust tangency condition.",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.5 (Robust invariance / tangency).,formal_foundations,"operator I, theorem record, mapping",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,Formal viability and theorem atlas,TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof verified in source §4.7 (regulation map; measurable selection; discriminating-kernel converse); module formal_foundations confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-024,A001,"Let $\mathfrak S = \{B \neq \varnothing : B \subseteq \mathcal V\}$ and define $\mathfrak K_0 = \mathfrak S$, $\mathfrak K_{n+1} = \mathfrak K_n \cap \operatorname{Pre}(\mathfrak K_n)$. Then $B \in \mathfrak K_n$ iff an observation-based policy keeps every compatible physical trajectory in $\mathcal V$ for $n$ sampling periods; and under compactness and closed-graph hypotheses,",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.6 (Belief viability fixed point).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof verified in source §4.8 (finite-horizon induction + Knaster–Tarski greatest fixed point); module observation_governance_empirics confirmed; mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-025,A001,An action $u \in \mathcal A_\Delta(B)$ is *safely informative* relative to a belief-size functional $r$ if,research_program/article_001_topdown/formal_result_inventory.md,Definition 4.4 (Safely informative action).,observation_governance_empirics,"operator I, theorem record, mapping",EXACT_SPECIALIZATION,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,defined_source_object,see source evaluation and action register; do not infer completeness,Paper 2,Formal viability and theorem atlas,TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): definition verified in source §4.8; module observation_governance_empirics corrected (intake: formal_foundations); mapping EXACT_SPECIALIZATION confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. Citation anchor locked at the source section named above; the paper-time citation match rides the Part III paper-support discipline. module corrected to observation_governance_empirics (intake: formal_foundations) — belief-size reduction through actions is the information channel
CC-A001-026,A001,"Suppose $B$ is a possible information set containing a state on $\partial \mathcal V$, and",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.7 (Instantaneous common-action obstruction).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",COUNTEREXAMPLE_OR_LIMIT,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 2,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem verified in source §4.9 (no separate proof block; the argument is inline and Example 4.1 is the witness); module observation_governance_empirics confirmed; mapping COUNTEREXAMPLE_OR_LIMIT confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged.
CC-A001-027,A001,"Let an unobserved parameter satisfy $\theta \in \{-1,+1\}$, with $\dot z = \theta u$, $u \in \{-1,+1\}$, $z \ge 0$. At $z=0$: if $\theta=+1$ only $u=+1$ is safe; if $\theta=-1$ only $u=-1$ is safe. Both states are individually robustly viable, but $B = \{(0,+1),(0,-1)\}$ admits **no common safe action**, so $B \notin \operatorname{ERViab}$. This is a purely informational failure: no stochasticity or estimation quality is involved, and each state is individually robustly viable while the joint belief is not.",research_program/article_001_topdown/formal_result_inventory.md,Example 4.1 (Hidden-mode conflict).,observation_governance_empirics,"observation, assessment, policy, implementation, evidence",COUNTEREXAMPLE_OR_LIMIT,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,status_crosswalk_required,see source evaluation and action register; do not infer completeness,Paper 5,"Observation, governance, and identification",TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,"Row-closed 2026-08-27 (A001 scientific pass; source read in full): explicit example verified in source §4.9 (hidden-mode conflict: two individually viable states, no common safe action); module observation_governance_empirics confirmed; mapping COUNTEREXAMPLE_OR_LIMIT corrected (intake: EXACT_SPECIALIZATION). Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. mapping corrected to COUNTEREXAMPLE_OR_LIMIT: the example is an impossibility witness for common-action viability, not a positive specialization"
CC-A001-028,A001,"If every possible action at belief $B_0$ allows a disturbance and a compatible state to reach a locally nonviable boundary point before the next informative observation time $T_{\mathrm{obs}}$, then $B_0 \notin \operatorname{ERViab}$. A sufficient condition is the existence of $q$ and $\varepsilon > 0$ with $\inf_{x \in B_t} \inf_{d} D^+ q(x;f(x,u,d)) \le -\varepsilon$ throughout an uncertainty branch and $T_{\mathrm{obs}} > \frac{\inf_{x \in B_0} q(x)}{\varepsilon}$. Information may be accurate but arrive too late.",research_program/article_001_topdown/formal_result_inventory.md,Theorem 4.8 (Delayed-information obstruction).,observation_governance_empirics,"state, model, admissible set, theorem record",COUNTEREXAMPLE_OR_LIMIT,accepted_mapping,retain exact source assumptions; model-class extraction pending row review,proof_inventory_present_line_check_required,see source evaluation and action register; do not infer completeness,Paper 5,Delay and nonlinear transitions,TCS-1.0 interface contract; local producer/consumer fields required before theorem transfer,row_verified,"Row-closed 2026-08-27 (A001 scientific pass; source read in full): theorem + proof verified in source §4.9 (Dini-inequality exit bound before the next informative observation); module observation_governance_empirics corrected (intake: nonlinear_dynamics); mapping COUNTEREXAMPLE_OR_LIMIT confirmed. Content-level acceptance only: the TCS-1.0 §7 mapping type and the exact source assumptions are verified; the §8 interface contract for cross-module theorem transfer and all theorem statuses remain unchanged. module corrected to observation_governance_empirics (intake: nonlinear_dynamics) and destination corrected Paper 4 → Paper 5: the delay here is the observation interval T_obs (information timing — Paper 5's review-interval spectrum), not an RFDE; the source itself calls it ""information may be accurate but arrive too late"""
